Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Worthington ,"Produces a line of plant-based meat alternatives that were originally produced by Worthington Foods. Heritage Health Foods is Seventh Day Adventist-owned, and Worthington was founded by Adventists.   Worthington products are popular in the Adventist community. ",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Fish,Tuna","Soy,Wheat",U.S. and Canada,United States,TN,TN,http://eatworthington.com/,1967,,Capture.JPG (https://dl.airtable.com/.attachments/9dc593b7afd40b6e73f45f7788a09d4d/b09bacfc/Capture.JPG)
Flowfood,"Produces plant-based meats including mince, burgers, and meatballs.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Pea,Beans",Europe,Norway,,Trondheim,http://www.flowfood.no/,2016,Christer Heimtoft,Capture.JPG (https://dl.airtable.com/.attachments/36570ee3f3e17c68533660c171db945f/b515df80/Capture.JPG)
Veat,"Vending machines serving plant-based foods using cauliflower, peas, mushrooms, and other vegetables",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,,Europe,Sweden,,Stockholm,https://www.veat.se/,2020,Andreas Karlsson,Screen Shot 2021-01-25 at 11_01_27 AM.png (https://dl.airtable.com/.attachments/32ee4f35eee71a03ed41c18a124d3808/145e7039/ScreenShot2021-01-25at11_01_27AM.png)
Dream,"Produces plant-based milks, including brand names Almond Dream, Soy Dream, and Rice Dream. Also produces almond based frozen desserts"".",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Soy,Oat,Coconut,Almond,Rice",U.S. and Canada,United States,MO,St Louis,http://www.dreamplantbased.com/,1971,Robert Nissenbaum,download (1).png (https://dl.airtable.com/.attachments/2b41a294c0c930951c7de5e0d763fe77/a052be11/download1.png)
Frieda's,Speciality produce company with a line of soy chorizo (Soyrizo),Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Soy,U.S. and Canada,United States,CA,Los Alamitos,https://www.friedas.com/,1962,Frieda Rapoport Caplan,Capture.JPG (https://dl.airtable.com/.attachments/ca152efbe0d473baa5934f30f4785176/dd3a27fe/Capture.JPG)
YoFiit,Produces chickpea-based milks,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Chickpea,U.S. and Canada,Canada,ON,Vaughan,https://yofiit.com/,2015,Marie Amazan,Yofiit-Logo.png (https://dl.airtable.com/.attachments/4d06708f4bb581d89bf7471a91779e72/673a9397/Yofiit-Logo.png)
Forager Project,"Produces cashew milk, cashew yogurt, juices, shakes, smoothies, and snacks",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Cashew,Coconut",U.S. and Canada,United States,CA,NA,http://foragerproject.com/,2013,"John-Charles Hanley, Stephen Williamson",forager-logo.svg (https://dl.airtable.com/.attachments/a46de7704803814122a1693164fc2d6f/cbfbe228/forager-logo.svg)
Tofurky,"Produces meat alternatives including Tofurky, tempeh bacon, hot dogs/saUnited Statesges, and prepared meals such as pockets and pizzas",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Pork,Beef/veal,Turkey,Chicken","Soy,Wheat",U.S. and Canada,United States,OR,Hood River,http://www.tofurky.com/,1980,Seth Tibbott,Screen Shot 2021-01-12 at 3_29_05 PM.png (https://dl.airtable.com/.attachments/8d7e14e288ed1f6cbfe1a2d3091db73c/5c16db1f/ScreenShot2021-01-12at3_29_05PM.png)
Green Slice,"Produces plant-based deli slices, hot dogs, pepperoni, and cheeses. Most products contain eggs.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Egg,Pea",U.S. and Canada,United States,VT,Richmond,http://www.greenslicefoods.com/,2017,Veronique Beittel,1.png (https://dl.airtable.com/.attachments/65b096ccde7d2b008ba74806768d4cd1/a677a5dc/1.png)
LoveSeitan,Bulk producer of seitan,Plant-based,Meat,Ingredient optimization,,,Wheat,Europe,United Kingdom,,,https://www.loveseitan.com/,2017,,cropped-top-logo3.png (https://dl.airtable.com/.attachments/f2cf5cfa877c75da2f6486be18232c10/61fe4d2a/cropped-top-logo3.png)
Evolution Meats (fmr. Green Meat Products),"Maker of plant-based kebabs, shawarma, gyros, satay, and sausages",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Pork","Soy,Wheat,Rice,Beans",Europe,Netherlands,,Putten,https://www.evolutionmeats.com/,2019,"Andre Storteboom, Dennis Smith",logo-black.png (https://dl.airtable.com/.attachments/84530c25d8cc2ddf415f421d999e52eb/33bab3d5/logo-black.png)
"New Wave Foods, Inc. ",U.S.-based company producing algae-based shrimp products ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,"Algae,Other",U.S. and Canada,United States,CT,Stamford,https://www.newwavefoods.com/,2015,"Dominique Barnes, Michelle Wolf",new-wave-logo.png (https://dl.airtable.com/.attachments/f20d6dbca146b66d1ad61610f4d099e7/aa800b8d/new-wave-logo.png)
Nate's,"Produces plant-based meatballs, Indian-inspired entrees, and falafel (all sold frozen). Parent company is based in India. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Soy,U.S. and Canada,United States,CA,San Mateo,http://www.adf-foods.com/brand/nates,,,Nates.jpeg (https://dl.airtable.com/.attachments/fae6a42af3c79d98b6341dbd53cac2da/686b597a/Nates.jpeg)
Gold&Green Foods,Produces pulled oats as a ground meat substitute,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Oat,Europe,Finland,N/A,Helsinki,http://www.goldandgreenfoods.com/,2015,"Maija Itkonen, Zhong-qing Jiang, Reetta Kivelä",Screen Shot 2021-02-08 at 3_52_45 PM.png (https://dl.airtable.com/.attachments/624e60761eb8494e1172cb0727888ecf/164e9e4c/ScreenShot2021-02-08at3_52_45PM.png)
Viva Maris Algen,"Maker of algae-based burger patties, sausages, pastas, sauces, and more",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Algae,Europe,Germany,,Hamburg,https://www.viva-maris.de/,2014,Claudia Busse-Uhrig,Capture.JPG (https://dl.airtable.com/.attachments/5651bc5af770ccc654ad6d8916f76a11/ecce79df/Capture.JPG)
Malk Organics,"Produces cold-pressed nut milks (almond, pecan, and cashew based), as well as cold brew coffee",Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Oat,Cashew,Almond,Pecan",U.S. and Canada,United States,TX,"Houston, TX",http://malkorganics.com/,2014,August Vega,Screen Shot 2021-01-04 at 11_24_56 AM.png (https://dl.airtable.com/.attachments/9c2659ba51e0ad0ac0ae85722aac76d5/3da3ccad/ScreenShot2021-01-04at11_24_56AM.png)
Mr. Veggy,"Maker of plant-based burgers, coxinha (chicken croquettes) and other foods",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Beef/veal","Chickpea,Quinoa,Lentils",Latin America,Brazil,,,https://mrveggy.com/,2004,,logo-com-veggitos.png (https://dl.airtable.com/.attachments/8118756eb8243025b4d02eaadb101389/6fb34259/logo-com-veggitos.png)
Olijck,Maker of burgers and pasta from seaweed,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken","Lentils,Other",Europe,Netherlands,,Halfweg,https://www.olijckseaveggies.com/,2013,,download (9).png (https://dl.airtable.com/.attachments/3c1ade9e2e943b39759239506b7a643e/4f1db48c/download9.png)
Wessanen (Ecotone),"Maker of dairy alternative and vegetarian meals with several brands, all of which use a variety of diverse ingredients",Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Ground meat,Other dairy",,,Europe,France,,Lyon,https://www.wessanen.com/,1765,,logo-ecotone-sticky.png (https://dl.airtable.com/.attachments/5fd7aadc434bc94c44b27eacc228dbcd/8f3b8ab9/logo-ecotone-sticky.png)
Upton's Naturals,"Produces meat alternatives including seitan, burgers, jackfruit",Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,,Jackfruit,U.S. and Canada,United States,IL,Chicago,http://www.uptonsnaturals.com/,2006,Daniel Staackmann,Uptons.svg (https://dl.airtable.com/.attachments/2d29bb2820f11242dc31eaddb5895600/276a6732/Uptons.svg)
Vegafit,Maker of a variety of plant-based meats,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,Fish,"Potato,Wheat",Europe,Netherlands,Overijssel,Deventer,https://vegafit.com/products/,2020,,Vegafit.png (https://dl.airtable.com/.attachments/46cb0e1954328edd801e498fc1d41828/339f0c56/Vegafit.png)
Mooala,"Produces almond milk, oat milk, and banana milk",Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Almond,Oat,Other,Coconut",U.S. and Canada,United States,TX,Dallas,https://www.mooala.com/,2013,Jeff Richards,Mooala_Logo-1-copy.png (https://dl.airtable.com/.attachments/7ac6d73aa53f784d15029a950ca0eca3/22233457/Mooala_Logo-1-copy.png)
Wholly Veggie,"Maker of gluten-free, soy-free plant-based patties, pizzas, and more",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,,U.S. and Canada,Canada,Ontario,Toronto,https://www.whollyveggie.com/,2016,,Screen Shot 2021-01-06 at 10_06_44 PM.png (https://dl.airtable.com/.attachments/917fc831dea8590500097b909d591909/4772b60c/ScreenShot2021-01-06at10_06_44PM.png)
Elmhurst Milked,"Produces nutmilks (cashew, walnut, almond, or hazelnut varieties available). Debuted at the 2017 Expo West. Developed by Henry Schwartz, who previously operated family-owned dairy plant Elmhurst Dairy in NYC, which closed in 2016. ",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Oat,Almond,Cashew,Hazelnut",U.S. and Canada,United States,NY,"Elma, NY",http://www.elmhurst1925.com/,1925,Henry Schwartz,elmhurst_logo_small_primary_black_801x.jpg (https://dl.airtable.com/.attachments/a88e28099a5fbbb96ff31a8cea209276/779785f6/elmhurst_logo_small_primary_black_801x.jpg)
Devon Garden Foods,Maker of pea milk,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Pea,Europe,United Kingdom,,Exeter,https://www.devongarden.com/,2019,Cesar Torres,Screen Shot 2021-01-22 at 2_12_34 PM.png (https://dl.airtable.com/.attachments/5fe93d818183dbadc313c30afe4b0f12/706beaeb/ScreenShot2021-01-22at2_12_34PM.png)
New Barn,"Produces organic almond milk, as well as a buttery spread",Plant-based,Dairy,End product formulation and manufacturing,Milk,,Almond,U.S. and Canada,United States,CA,"Healdsburg, California",http://www.thenewbarn.com/,2015,Ted Robb,NBOlogo_PMS_7621C_300x.png (https://dl.airtable.com/.attachments/528229fd7ff461e1b32b663ff3d3660d/0592c9b9/NBOlogo_PMS_7621C_300x.png)
Creations Foods,"Maker of functional plant proteins; snacks, cookies; cheese",Plant-based,Meat,End product formulation and manufacturing,"Cheese,Other",,Algae,U.S. and Canada,United States,WA,Blaine,https://www.creationsfoods.com/,2019,,Capture.JPG (https://dl.airtable.com/.attachments/48b3152710b48ea3ee8f9effac4b5189/f0d53de9/Capture.JPG)
Neat Foods,"Produces ground beef alternatives made of ground nuts; produces the ""neategg"" (to be used as a binder only).",Plant-based,"Eggs,Meat",End product formulation and manufacturing,Ground meat,"Beef/veal,Pork",Soy,U.S. and Canada,United States,NC,Nashville,http://eatneat.com/,2008,Laura Lapp,Capture.JPG (https://dl.airtable.com/.attachments/86ccf34200e64d96dbf7cfb056a09acb/48144132/Capture.JPG)
Nutcase Vegan Meats,"Whole grain, bean, and nut-based meats",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Pork,Beef/veal","Rice,Quinoa",U.S. and Canada,United States,MI,Grand Rapids,https://nutcasevegan.com,2015,"Andrew Maternowski, Monica Randles",Nutcase.png (https://dl.airtable.com/.attachments/0c851f91a00649b093a0c4bc57ef2409/e5f52598/Nutcase.png)
Foodies,"Produces veggie artichoke burgers, plant-based frittata, and pumpkin-seed tofu alternative",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Pumpkin,Artichoke",U.S. and Canada,United States,OH,Cincinnati,http://foodiesvegan.com,2006,Valerie Williams,PUMFU-LOGO-6.jpg (https://dl.airtable.com/.attachments/fa7056a7ddfc78951952385aeaa0e470/91dd1168/PUMFU-LOGO-6.jpg)
Nuttin Ordinary,Produces cultured cashew-based cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,NH,Harrisville,http://nuttinordinary.com/,2012,Josh Velasquez,nuttin_ordinary_logo-tagline-300x154.png (https://dl.airtable.com/.attachments/34dc6db2f179770b6e9e6d70791a2bc0/8e13b38a/nuttin_ordinary_logo-tagline-300x154.png)
Good Catch,"Plant-based seafood, mostly flaked fish products like crab cakes, seafood burgers, and tuna",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,Fish,"Lentils,Algae,Pea,Chickpea",U.S. and Canada,United States,NY,New York,http://goodcatchfoods.com/,2016,"Chris Kerr, Eric Schnell",Good-Catch-Logo-182-1.png (https://dl.airtable.com/.attachments/6e78d60f39f3927685cdbe3c5b07ea65/33aea621/Good-Catch-Logo-182-1.png)
Unmeat,Vegan fast food franchise with a focus on blockchain applications,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Switzerland,,,https://unmeat.com/,2014,,Capture.JPG (https://dl.airtable.com/.attachments/06f47725194649a51f711a75359a27e6/be00cd87/Capture.JPG)
Hilary's (Drink Eat Well),Producer of brand of veggie burgers with focus on natural ingredients,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Pork,Beef/veal","Millet,Lentils,Dates",U.S. and Canada,United States,KS,Lawrence,https://www.hilaryseatwell.com/,2010,Hilary Brown,Hilary_s_Eat_Well_Logo_3fcfd74a-1b1e-4f45-b1df-d02edf5b0232_300x.png (https://dl.airtable.com/.attachments/7e9c16b75fd5a03942f3a804976d6f5c/2ed3ef9a/Hilary_s_Eat_Well_Logo_3fcfd74a-1b1e-4f45-b1df-d02edf5b0232_300x.png)
Outstanding Foods,Produces plant-based bacon chips,Plant-based,Meat,End product formulation and manufacturing,Other meat,Pork,Pea,U.S. and Canada,United States,CA,Los Angeles,https://www.outstandingfoods.com/,2016,"Bill Glaser, David Anderson",py5vhms95tldanjbodbs.png (https://dl.airtable.com/.attachments/3f352e183e3e7c39b1a49cd4d51b14d5/8a553881/py5vhms95tldanjbodbs.png)
Pure Abundance,Produces cashew-based artisanal vegan cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,GA,Atlanta,http://pureabundancefood.com/,2016,Allison Wunderland,pa_logo.png (https://dl.airtable.com/.attachments/555e751222d01a635c1133b79e53b8d4/5f1d5873/pa_logo.png)
Core + Rind,Maker of cashew cheese sauce,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,MO,St. Louis,https://coreandrind.com/,2016,"Candi Haas, Rita Childers",Core_Rind_Logo_blk_100K-01_cropped_180x.jpg (https://dl.airtable.com/.attachments/f82ebcf35729dcc721111534d2b2d1da/02f90691/Core_Rind_Logo_blk_100K-01_cropped_180x.jpg)
Unreal Co,"Producers dehydrated plant-based meats for home cooking as well as plant-based beef patties, chicken patties, and pizza",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Pork,Chicken","Soy,Pea,Rice",Asia Pacific,Australia,,,https://unrealco.com.au/,2017,,unreal-co-rainbow-logo.png (https://dl.airtable.com/.attachments/76400abd78dc43442d19f25aa4828c8c/6342d126/unreal-co-rainbow-logo.png)
MADE WITH LUVE (fmr. Prolupin),Germany-based company producing dairy alternatives made with lupine,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,Lupine,Europe,Germany,N/A,Grimmen,http://madewithluve.de/,2010,Spin-off of the Fraunhofer Institute for Process Engineering and Packaging,Screen Shot 2021-01-04 at 10_46_26 AM.png (https://dl.airtable.com/.attachments/6f0fc1ca74ed6bac1c4cfa011027a25b/a555c9e1/ScreenShot2021-01-04at10_46_26AM.png)
Vegetarian Plus,"Produces beef, chicken, turkey, ham, fish, shrimp, and other meat alternative products. Produces various Asian-inspired meat-alternative-centric meals, such as vegan citrus spare rib cutlets and vegan ginger chicken. Sold in the frozen section of many natural foods stores. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Soy,"U.S. and Canada,Latin America,Asia Pacific",United States,CA,Monrovia,http://vegetarian-plus.com/,1998,,vegetarian-plus_logo.png (https://dl.airtable.com/.attachments/642d3e017169f50749b24a9aa1727a3c/b4c34634/vegetarian-plus_logo.png)
Heartbest Foods,"Heartbest is the first food tech and one of the fastest growing food companies in Mexico, offering a portfolio of revolutionary plant-based dairy products such as cheese, milk, spreads and yogurt. They build food directly from plants, an innovation that enables consumers to experience the taste, texture and other sensory attributes of popular animal-based dairy products while enjoying the nutritional benefits of eating their plant-based dairy innovations, adapting their portfolio from a plant-based cheese adapting millenarian Mexican flavours such as a chihuahua that melts like traditional animal cheese to a plant-based milk made from amaranth that has the same amount of protein as a ground milk.",Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Milk",,"Pea,Amaranth",Latin America,Mexico,,San Luis Potosí,http://heartbestfoods.com/,2017,"Aldo González, Everhard Ortega,Eduardo Centeno",logo-9f812c512fc8950021b7c89df35ddc09ec4171b86cdbab86f6489c483203e690.png (https://dl.airtable.com/.attachments/b2e3bbe253a5e8ec43b436f5a335a8f9/e19fc4a7/logo-9f812c512fc8950021b7c89df35ddc09ec4171b86cdbab86f6489c483203e690.png)
PLANETARIANS,Developer of ingredient technology system designed to upcycle by-products and solid food waste into high-protein high fiber ingredients.,Traditional fermentation,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken,Pork","Pea,Soy",U.S. and Canada,United States,CA,Palo Alto,https://www.planetarians.com/,2017,"Aleh Manchuliantsau, Anastasia Tkacheva",arqwbrzihjvpp3z5crxo.png (https://dl.airtable.com/.attachments/88c071dec3ec554de28c362561f74583/562ef4ee/arqwbrzihjvpp3z5crxo.png)
The Abbot's Butcher,"Plant-based burgers, meat balls, and ground beef",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Beef/veal,Pork","Pea,Wheat",U.S. and Canada,United States,CA,Costa Mesa,https://www.theabbotsbutcher.com/,2018,Kerry Song,abbots-butcher-logo.png (https://dl.airtable.com/.attachments/01a7b765d894ecb43a333d1d6e238581/c5aff93d/abbots-butcher-logo.png)
The Jackfruit Company,Produces jackfruit-based meat products,Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Pork,Jackfruit,U.S. and Canada,United States,CO,Boulder,http://thejackfruitcompany.com/,2011,Annie Ryu,the-jackfruit-company.svg (https://dl.airtable.com/.attachments/fd79d3ed9647561b88da664431264e1e/7cce8ced/the-jackfruit-company.svg)
Jule's Cashew Brie,Produces artisanal cashew cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,CA,Davis,https://www.julesveganfoods.com/,2017,"
Julie Van Dam, Stefen Janke",download.png (https://dl.airtable.com/.attachments/277a93b0f38919f59d1806b51b788381/990893d0/download.png)
Green Vie Foods,Maker of a variety of vegan cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Coconut,Europe,Cyprus,,Limassol,http://www.greenviefoods.com/,2016,,logo (1).png (https://dl.airtable.com/.attachments/48c3498c0975f490d7a8181bafc309ab/c206ce8e/logo1.png)
Lupinta,"Lupin-based meat and chicken replacements, and tempeh",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Lupine,Europe,Sweden,,,https://www.lupinta.se/,2018,"Eslam Salah, Ilaria Di Meo, Oscar Manfred, Matilda Pernryd",lupinta-logo-small-web.png (https://dl.airtable.com/.attachments/5b502053d617c25534b10da90fa496d6/e6a20762/lupinta-logo-small-web.png)
Oatly,Produces oat-based milk,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy,Other",,Oat,"Europe,U.S. and Canada,Asia Pacific,Africa/Middle East",Sweden,N/A,Malmö,http://www.oatly.com/,1985,Rickard and Björn Öste,x3s6ru6eqcrgpvcvhlio.png (https://dl.airtable.com/.attachments/565075ceb6ccb061511d85504ba48d26/cdd18cb3/x3s6ru6eqcrgpvcvhlio.png)
Mr. Dewie's,Produces cashew-based ice cream,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Cashew,U.S. and Canada,United States,CA,Albany,http://www.mrdewies.com/,2011,"Ari Cohen, Andrew Cohen,",Screen Shot 2021-01-04 at 1_45_43 PM.png (https://dl.airtable.com/.attachments/8bcb9f0bdcaf7581fdc88022330762f6/6b145c42/ScreenShot2021-01-04at1_45_43PM.png)
Vtopian Artisan Cheeses,Produces artisanal cultured cashew cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Cashew,Coconut",U.S. and Canada,United States,OR,Portland,http://www.vtopiancheeses.com/,2013,Imber Lingard,Screen Shot 2021-01-08 at 9_08_54 PM.png (https://dl.airtable.com/.attachments/b2300cacd5de5d322904c763eea7af24/55854641/ScreenShot2021-01-08at9_08_54PM.png)
No Bull Burger,Producer of gourmet veggie burgers,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Lentils,Quinoa",U.S. and Canada,United States,VA,Charlottesville,https://nobullburger.com/,2011,"Crissanne Raymond, Heather Raymond, Elizabeth Raymond",NoBull.png (https://dl.airtable.com/.attachments/4b9288efc9cd9e6fecd2320246ba7bac/c5b9c7ec/NoBull.png)
"Hodo Soy Beanery (Hodo, Inc.)","Produces tofu, soy milk, soy-based meat alternatives including Chipotle's Sofritas, ready-to-eat meals, and yuba (thin veil that forms on the surface of heated soymilk)",Plant-based,"Dairy,Meat",End product formulation and manufacturing,Ground meat,"Chicken,Beef/veal",Soy,U.S. and Canada,United States,CA,"Oakland, California",http://hodosoy.com/,2006,"John Notz, Minh Tsai",HodoFoods-Logo-Filled-1218x728.png (https://dl.airtable.com/.attachments/e13f9948309725eeca9a5c9f92caa113/9090a115/HodoFoods-Logo-Filled-1218x728.png)
Pacific Foods,"Produces plant-based soups, broths, dairy alternatives, seitan, breakfasts, and desserts. Not an entirely plant-based portfolio, but a leader in plant-based milk, using diverse proteins like hemp, oat, almond, and hazelnut.",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other",,"Almond,Cashew,Coconut,Hemp,Oat,Soy,Other",U.S. and Canada,United States,OR,Tualatin,http://www.pacificfoods.com/,1987,"Ed Lynch, Chuck Eggert",Pacific_Foods_Logo_SM.svg (https://dl.airtable.com/.attachments/313b6545586445bb60f4d68d3546a1b6/6421e3c5/Pacific_Foods_Logo_SM.svg)
Vixen Kitchen,"Produces vegan paleo gelato. Cashew-based, sweetened with maple syrup",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Cashew,U.S. and Canada,United States,CA,Garberville,http://vixenkitchen.co/,2013,Sundara Clark,Vixen-Kitchen-Logo.png (https://dl.airtable.com/.attachments/d9b3e4d295969e012f181abc579f9266/a2888cb3/Vixen-Kitchen-Logo.png)
Fomu,Produces coconut milk-based ice cream. Clean label/artisanal,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Coconut,U.S. and Canada,United States,MA,Watertown,http://www.fomuicecream.com/,2011,,fomu_logo-01_1486405384__80896_original.webp (https://dl.airtable.com/.attachments/f659bf5b16f9c4c4ec73649c2c1a9e49/29d99e82/fomu_logo-01_1486405384__80896_original.webp)
It's Jerky Yall,Maker of plant-based beef jerky from soy,Plant-based,Meat,End product formulation and manufacturing,Other meat,Beef/veal,Soy,U.S. and Canada,United States,TX,Cross Roads,https://itsjerkyyall.com/,2017,Brett Christoffel,cropped-header-2019-3.png (https://dl.airtable.com/.attachments/96c5768376b7cab79fcaa7dad8f1ea79/c6fdc21e/cropped-header-2019-3.png)
THIS,Plant-based chicken and beef products. ,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Whole muscle meat","Pork,Chicken","Pea,Soy,Wheat",Europe,United Kingdom,,London,https://this.co/,2018,"Andy Shovel, Pete Sharman
",This.png (https://dl.airtable.com/.attachments/f1f5fbb5d6b516d228e9f0548ad5c19a/0ff7cca0/This.png)
Loca,Produces plant-based cheese dips,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Potato,U.S. and Canada,United States,CA,San Francisco,https://www.eatlocafood.com/,2018,,Website_Main_Logo_Black_1_8d34bb60-5838-4e36-afb4-cc3ec71bfe5b_120x@2x.png (https://dl.airtable.com/.attachments/2ea1e15920622a9e426555fd44eb7d4a/f6e1a527/Website_Main_Logo_Black_1_8d34bb60-5838-4e36-afb4-cc3ec71bfe5b_120x2x.png)
Lavva,"U.S.-based company producing plant-based yogurt and milk products using the ""pili"" nut, with a focus on incorporating probiotics and health benefits, including ",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Coconut,Other",U.S. and Canada,United States,NY,New York,https://lovvelavva.com/,2016,Elizabeth Fisher,Screen Shot 2021-02-01 at 1_31_06 PM.png (https://dl.airtable.com/.attachments/76125baad0a6fa29bb32764e49eb9102/71f21c6c/ScreenShot2021-02-01at1_31_06PM.png)
Violife,Produces plant-based cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Coconut,Potato","U.S. and Canada,Europe",Greece,N/A,Thessaloniki,https://violifefoods.com/us/,1990,,new-violife-logo-mobile.png (https://dl.airtable.com/.attachments/1d2fb8c286325170455bdf140b6555d2/5cb771c2/new-violife-logo-mobile.png)
La Robleria,Maker of mushroom based dips and other mushroom based products,Plant-based,Meat,End product formulation and manufacturing,Other,,Mushrooms,Latin America,Chile,,Santiago,https://larobleria.cl/,2016,"Juan Enrique Bernstein, Rodolfo Antonio Ulloa Iglesias",Capture.JPG (https://dl.airtable.com/.attachments/d4ef8daf1000d27ca4a14f0326c37255/cb43f63e/Capture.JPG)
Good Seed Burger,Whole foods plant-based veggie burgers,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Pork,Beef/veal","Hemp,Blend",U.S. and Canada,United States,TX,Austin,http://goodseedburger.com/,2009,"Erin Shotwell, Oliver Ponce",dvx5k1dws3mlhpwmy440.jpg (https://dl.airtable.com/.attachments/58b076cdfac3eab45dcef591341ea1ca/fda9b92a/dvx5k1dws3mlhpwmy440.jpg)
Living Harvest,Produces Tempt brand hemp milk and coconut hemp milk. Also hemp yogurt and tofu,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Hemp,Coconut",U.S. and Canada,United States,Connecticut,Norwalk,http://livingharvest.com/,2002,,living_harvest_logo_dark.png (https://dl.airtable.com/.attachments/2424e7a217b15f1436c614a21f31b511/c61e643a/living_harvest_logo_dark.png)
Klein’s Ice Cream,Kosher ice cream company with a broad selection of vegan flavors,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Soy,U.S. and Canada,United States,NY,Brooklyn,http://www.koshericecream.com/,1955,Rabbi Efraim Klein,kleins1.png (https://dl.airtable.com/.attachments/118ed9f4b1cd7e8fe6513ea2ecfc12f3/69ba1192/kleins1.png)
Maika Foods,Maker of a plant-based steak and other meats,Plant-based,Meat,End product formulation and manufacturing,"Whole muscle meat,Ground meat",Beef/veal,,U.S. and Canada,United States,CA,El Segundo,http://maikafoods.com/our-foods/plant-based-meat/,2015,,Maika.png (https://dl.airtable.com/.attachments/8e64429165f3a782b7835b3fb6cd02d9/ec306c24/Maika.png)
Wicked Kitchen / Wicked Foods,"Maker of ""Wicked Meaty"" plant-based heat-and-eat meals",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,,"U.S. and Canada,Europe",United Kingdom,,,https://wickedkitchen.com/us/,2016,,Screen Shot 2021-01-06 at 8_31_08 PM.png (https://dl.airtable.com/.attachments/d8742cf1d4014d84a9b4a77dd51b848b/358da3d5/ScreenShot2021-01-06at8_31_08PM.png)
