name,summary,link,Primary focus,Location,Founded,Business model,Protein category,Ingredients,Technology focus,End product application,Meat fish analogs
Brookside Flavors & Ingredients,"Brookside makes Healthy, Natural, Good For You™ happen – from ideation to product launch! Our team of talented innovators works with customers to formulate delicious, finished products that meet consumer demands, using high-quality organic flavors and ingredients. Our R&D team helps build customized flavor profiles, whether sweet or savory – our portfolio has something for every application. Our range of natural and certified organic flavors, extracts, savory ingredients, TTB flavors, and modulators are functional in multiple applications including: Alcoholic Beverages, Traditional and Plant-based Meats, Dairy Alternatives, Bakery, Confectionery, Soups, and more. Let’s create something memorable together!",brooksideflavors.com,Food and beverages,United States,2015,Ingredients & inputs,Plant-based,,Ingredient optimization,,
Bosque Foods,"KINOKO LABS is becoming BOSQUE FOODS ! We are excited to present our new brand and looking forward to showcase our first products soon.
At Bosque Foods, we envision a world in which our future generations can prosper and thrive, without compromising the health of our planet.
Our mission is to create better-than-meat products that deliver on the entire taste experience, nutrition, and price of traditional meat without compromise. Our solution is to create the best clean-image, minimally processed whole-cut meat and fish alternatives grown naturally from fungal mycelium.",bosquefoods.com,Food and beverages,United States,,End-consumer brands & products,Fermentation,Mycelium,Biomass fermentation,Meat & fish,
Cereal Ingredients (CII),"CII exists to deliver innovations for better food and stronger communities – today and for generations to come – by viewing every challenge as an opportunity to bring new ideas to life in a reliable, adaptable and sustainable way that puts our customers and our people first.",ciifoods.com,Food and beverages,United States,1984,Ingredients & inputs,Plant-based,"Chickpea, Fava bean, Pea, Rice, Soy, Wheat",Ingredient optimization,,
Devigere biosolutions Pvt Ltd,"Creating next gen revolution in alternate protein space.
We aim to produce functional , sustainable , clean label, nutritious plant proteins.
One of our innovation can replace egg in baking , healthcare and cosmetics applications",devigerebiosolutions.in,Food and beverages,India,2020,Ingredients & inputs,Plant-based,Pulses,Ingredient optimization,,
Yantai T.Full Biotech Co. Ltd.,"YANTAI T.FULL BIOTECH CO.,LTD., founded in 2011, is a company dedicated to the research, development, production and sales of pulses protein,starch and fiber products.",en.tfull.com,Food and beverages,China,2011,Ingredients & inputs,Plant-based,"Chickpea, Fava bean, Mung Bean, Pea",Ingredient optimization,,
TissueByNet,"TissueByNet is enabling researchers to successfully create tissues composed entirely of cells.
High-functioning, robust, and pure tissue unaffected by restrictive polymers or hydrogels are now easily created using TissueByNet Net-Engineered Tissue Technology.",en.tissuebynet.com,"Biomaterials, Food and beverages",Japan,,Infrastructure & equipment,Cultivated,,"Bioprocess design, Cell culture media, Scaffolding and structure",,
CHKP Foods,"Our founders are Middle East natives. And as such, they’ve always been well-acquainted with a certain little legume: the chickpea. Growing up with chickpeas as a staple food, they admired the taste, versatility, and nutritiousness of these plant-based powerhouses.
And, as lovers of a good challenge, they wondered –– what if we could transform this incredible ingredient into smooth, nutritious non-dairy yogurt like nothing else that exists? What if we could create dairy-free deliciousness that’s unrecognizable from this center-plate protein, except for its amazing benefits for people and planet?
And from this idea sprang a mission: to create dairy-free options SO good that you can choose them for all the right reasons: amazing taste, creamy texture, joyful indulgence, and true nourishment. No sacrifice, no compromise.
Flash forward through years of R&D to present day: we couldn’t be more excited to have unlocked the secret creaminess of chickpeas to bring you the kind of dairy-free indulgence that inspired us in the first place. Our products have the taste and texture you crave, protein and probiotics to nourish you, and a sustainability story worth telling.
At CHKP Foods, we offer our customers foods that nourish on every level: body, mind, and soul.",chkpfoods.com,Food and beverages,Israel,2019,End-consumer brands & products,Plant-based,Chickpea,,"Dairy, Yogurt",
Harvest B,Building the plant-based food ecosystem.,harvestb.io,Food and beverages,Australia,2020,Ingredients & inputs,Plant-based,,Ingredient optimization,,
Ingredient Alliance,"Ingredient Alliance offers complete vertical integration; to include organic farms/ biomass, and the capability of manufacturing USDA organic certified finished products. We specialize in Tru Nano
post extraction technology, which is quantifiable, creating new, novel ways to produce the highest quality raw materials and isolates. With each new generation of innovation, comes greater cost savings and competitive advantages for our customers.
Leading Supplier of Tru Nano Raw Materials, Tru Nano Water Soluble Oils/Liquids and Powder Isolates, and Broad Spectrum Oils & Powders.
CBN & CBG Now Available Along with Biomass, both Conventional and Organic",linkedin.com,Food and beverages,United States,2017,Ingredients & inputs,Plant-based,,Ingredient optimization,,
"Yantai Shuangta Food co., LTD","Shuangta Food co., LTD established on 1992, located at Jinling town in Shandong zhaoyuan city the original main produciton base of Longkou vermicelli, facility area 700,000 square meters, annual sales 1,8 billion RMB, is the production base of Longkou vermicelli, pea protein, pea starch, and also produce pea fiber, mushroom, biological gas ande etc. On 21st SEP. 2010 Shuangta become the public company listed on Shenzhen stock market.
Shuangta is the chairman company of the Chinese vermicelli industry association. The traditional hand made vermicelli craft is applied by our company to the first batch non-physical cultural legency, our company is announced to be the protection base of non-physical cultural legency.
Our Shuangta brand Longkou vermicelli have been winning the golden metal of Chinese agricultural expo and China international agricultural expo, reward of customer satisfaction and etc.
The company have powerful developing team, the first county grade technical centre, certified by BRC、HALAL、KOSHER、 ISO9001、HACCP、ISO22000、ISO14001. The company developed the bacillus acidi lactici pea protein separation method, extraction of the pea protein from the vermicelli water are listed in National Torch Plan and National Spark Plan.
The company add no additives in production, win customers’ praise by biological project, pure natural, green product, and stable quality. The company have built circle production line, extend the business area. The company have built vermicelli-pea protein extraction, wasted water make gas and electricity-make alcohol-mushroom-fertilizer the circle production line.",shuangtafood.com,Food and beverages,China,1992,Ingredients & inputs,Plant-based,"Mushroom, Pea",Ingredient optimization,,
"Shandong Jianyuan Bioengineering Co.,Ltd","Jianyuan Group is the world's leading pulses ingredient manufacturer located in Zhaoyuan China uses advanced technology and service, to produce highest quality field pulses ingredients. The Group has capability for pulses product R&D, process, extraction, trading and finance, one of the leading exporters through collaboration with global top food industry partners, development of emerging markets, and consistently exceeding clients' expectations. Jianyuan Group is your best choice for the very best quality ingredients supply.",jianyuangroup.com,Food and beverages,China,2003,Ingredients & inputs,Plant-based,Pea,Ingredient optimization,,
Ergo Bioscience,"Ergo it is a biotech-based startup focused on the development of plant-based meat and plant-based dairy products with organoleptic properties indistinguishable from those of animal origin.
Food production by animal agriculture is an archaic, inefficient and environmentally unsustainable practice. It generates 15% of the emissions of gases that affect the greenhouse effect, it is one of the industrial practices with the highest water consumption, and additionally the WHO has expressed itself regarding the possible health problems of a diet with excessive food of origin animal.
Our proposal it is to develop products as exquisite as those of animal origin using plant-based ingredients in a process of 3 steps:
1- We identify the main proteins responsible for the taste and texture of meat and dairy products of animal origin.
2- We then insert the genetic sequences of these proteins into carrot cells and grow them in bioreactors.
3- We formulate the plant-based products using the extract of the carrot cells in a matrix of other plant-based ingredients.",ergofoods.com,Food and beverages,Argentina,2020,Ingredients & inputs,"Cultivated, Plant-based",Carrots,,"Dairy, Meat & fish",
KosmodeHealth,"KOSMODEHEALTH upvalues food processing spent materials as functional food for human nutrition and as bioscaffold for 3D cell culture.
Anchored by a triple technological platform of sustainable & halal certifiable phytochemical extraction, Plant Protein Composite (PPC) bioink formulation and customizable 3D bioscaffold printing; KosmodeHealth enables nutraceutical companies in their product development with the extraction, development and supply of phytochemical ingredients; and 3D bioprinting/regenerative/tissue engineering/3D cell culture companies with customizable 3D PPC Bioink & PPC Bioscaffold.
Trust and integrity are non-negotiable values and the firm foundation in which KosmodeHealth’s brand promise of confidence and reliability is built on.
Find out more at https://www.kosmodehealth.com/
Contact us at info@kosmodehealth.com ☺️",kosmodehealth.com,Food and beverages,Singapore,2016,Ingredients & inputs,Cultivated,,Scaffolding and structure,,
Living Jin,"Living Jin was started in 2016 by a South Korean woman, Jina Kim. Our main product is agar-agar powder, a vegan substitute for gelatin. As a plant-based, gluten-free, and starch-free thickener, it allows you to make food to fit your diet.
We at Living Jin are committed to helping people enjoy food they like. The toughest challenge in following a specific diet is giving up certain foods. With agar-agar, you don’t have to. All you need is creativity.
To empower our customers, we created a global recipe community, Nooria. Here, you can find creative agar-agar recipes from all around the world. You’ll learn how to tweak traditional recipes to suit your diet or even discover new recipes to try.
We also host recipe contests every month to update the Nooria Recipe Library. If you don’t find recipes you want, let us know. We will design our contests to get those recipes for you. Submit your own recipes for a chance to win. Subscribe to our weekly newsletter and follow us on Instagram for new recipe ideas.
We grow with our customers. We decided to create Nooria, host recipe contests, and publish free cookbooks because our customers asked for recipes. Every decision we make is for you and with you. Engage with us!",livingjin.com,Food and beverages,United States,2016,"End-consumer brands & products, Ingredients & inputs",Plant-based,Agar,Ingredient optimization,,
Kyomei,"Arising out of the University of Oxford, Kyomei was founded by a rigorous team of experienced plant scientists, molecular biologists and entrepreneurs who believe in the power of plants and photosynthesis to produce proteins naturally and sustainably. We have built a plant-based production system producing animal proteins to prove it and power the next generation of meat alternatives.",kyomei.co.uk,Food and beverages,United Kingdom,2021,Ingredients & inputs,Plant-based,,Crop development,Meat & fish,
Vitmark,"Vitmark-Ukraine is the leading manufacturer of juices in Ukraine. We offer you natural, high quality and healthy products.
Our Company team unites inspired active, dedicated and success oriented people, targeted to the professional growth. Big and united team of the Company comprises more than 2,000 people.",int.vitmark.com,Food and beverages,Ukraine,1994,End-consumer brands & products,Plant-based,"Almond, Oat, Rice",,"Dairy, Milk",
Its Veego,"All raw, all natural, organic protein, and dairy free vegan products.",itsveego.com,Food and beverages,Australia,,End-consumer brands & products,Plant-based,"Coconut, Hemp, Pea",,Ready-to-eat meals & snacks,
Only Oats,"Only The Purest, Only Canadian, ONLY Purity Protocol OATS",myonlyoats.com,Food and beverages,Canada,2008,Ingredients & inputs,Plant-based,Oat,Ingredient optimization,,
My Forest Foods,"When it comes to solving our world’s biggest problems, the answers can often be found in nature. The forest is a great place to begin. A lot goes on—between the dirt and the squirrels, and the mosses and the trees—but, what interests us most is what’s happening just beneath the forest floor, where lies a hidden, entangled root system of fungi called mycelium.
We’ve studied and become inspired by mycelium. We’ve learned there’s a lot you can do with it—from textiles to building materials to packaging alternatives, even to food! Really tasty food. Guided by the wisdom of the woods, MyForest Foods is harvesting this new approach to meatless food—one that can sustain AND satisfy all types of eaters. Our mycelium is grown—not ground, so it actually feels like you’re biting into a whole cut of meat.
Our flagship product, MyBacon is the first of many plant-based, clean-label, mycelium-grown eats we have planned.
Mycelium—MyBacon’s star ingredient—is a complete protein with a naturally high nutritional profile, and it’s what gives MyBacon its amazing texture. Our chefs brine each strip using a special recipe with minimal ingredients: flaked salt, cane sugar, natural flavors and beet juice for color. Add a little coconut oil for the perfect sizzle, and you’re looking at a seriously meat-like bacon alternative, so reminiscent of the traditional bacon-y flavors and textures you love.
Now that we’ve figured out how to create a sustainable supply of eats, it’s our aim to pass the plate around the planet, honoring mycelium’s potential to feed the future, one delicious bite at a time.",myforestfoods.com,Food and beverages,United States,2019,End-consumer brands & products,Fermentation,Mycelium,Biomass fermentation,"Burger, Meat & fish",Pork
Microbiogen,"MicroBioGen is the world leader in the development of superior yeast biocatalysts for a wide range of industrial applications. The yeast biocatalysts we specialise in underpin products worth more than US$1 trillion per year.
Our unique platform technology can also be applied to human food, animal feed, enzymes, protein vectors, probiotics, biochemicals and even space exploration. Together with our current and future valued partners, customers and shareholders, we are excited to be building a more sustainable future through our unique, proprietary, long term and high-tech development programs.
Our highly advanced Saccharomyces cerevisiae yeast products – used for the Novozymes Innova series – are quickly becoming the new industry standards for the production of a range of 1st generation biofuels.
We are also in the final stages of developing a yeast product in collaboration with a major global corporate for 2nd generation biofuels, with ARENA (The Australian Renewable Energy Agency) supporting us in a $8M optimisation programme.",microbiogen.com,Food and beverages,Australia,2001,Ingredients & inputs,Fermentation,Yeast,Host strain development,,
"Sempera Organics, Inc.","Sempera Organics is a biotechnology company focused on wellness for humanity by unlocking the power of fungi.
We provide mushroom products for many brands in a wide variety of industries.",semperaorganics.com,Food and beverages,United States,2020,Ingredients & inputs,Fermentation,"Fungi, Mushroom",Ingredient optimization,,
Meet Future,We use fungal protein to create nutritious and sustainable plant-based meat and fish; a feel good eating experience.,linkedin.com,Food and beverages,Estonia,2021,End-consumer brands & products,Fermentation,Fungi,Biomass fermentation,Meat & fish,
Center of Food and Fermenetation Technologies (TFTAK),"Center of Food and Fermentation Technologies (TFTAK) is an Estonian multidisciplinary CRO founded in 2004. TFTAK is focused on two main research areas: bioprocess optimization and food research. The organization harbors a wide range of expertise with more than 100 highly skilled personnel and specializes in the use of modern analytical methods, systems biology, and synthetic biology principles, aiming at the development and implementation of innovative food and fermentation technologies. Broad knowledge of microbial metabolism and fermentation enables us to provide an array of services through a comprehensive understanding of the molecular components. TFTAK combines bioinformatics with sophisticated instrumental analytical methods and a pilot-scale cultivation facility to find solutions to even the most complex questions and help our customers optimize the production of single strains or microbial consortia.",tftak.eu,Food and beverages,Estonia,2004,"Contract manufacturing, Infrastructure & equipment","Fermentation, Plant-based",,"Bioprocess design, Precision fermentation",,
Terra Bio,"Terra Bio is a Canadian based company committed to produce and supply highly sustainable food products by repurposing food waste.
Our vision is to supply the market with the most sustainable vegan protein on earth by repurposing agro-food residues, and contribute to Canada's circular economy.
Terra Bio’s unique technology (patent pending) converts the spent grain from breweries into a functional plant based protein that can simply be added into food, like meat replacement products.",terrabiofood.com,Food and beverages,Canada,2017,Ingredients & inputs,Plant-based,Grains,Ingredient optimization,,
TeOra,"At TeOra, we see a future where the increasing demand for Health & Disease Control compounds and peptides are met with clean & sustainable manufacturing methods.
Just the way Nature taught us.
Using nothing but easily available natural resources, we leverage Nature's biofactories. No more synthetic or unsustainable methods & processes.TeOra takes on this global challenge and aims to lead the design & delivery of precision fermentation-based ingredients & proprietary biofactories. When there is a blueprint available in Nature, TeOra aims to biomanufacture with it.
'Ora’ or 'Aura' translates to “Life Force” in many native tribal languages. Most of these indigenous communities pride themselves in their symbiotic relationship with the natural world.These sentiments resound strongly in their responsible production and consumption practices to protect our planet's life-supporting capacity.
Motivated by such beliefs, TeOra uses Nature’s ingenuine biological processes as a guide to enable the clean and sustainable production of compounds & peptides.
Take nothing but inspiration from Nature.",teoralife.com,Food and beverages,Singapore,2019,Ingredients & inputs,"Cultivated, Fermentation",,Bioprocess design,,
Shijiazhuang Yuanchem Imp. & Exp. Corp. Ltd.,"We are a professional chemical supplier with our own plant and trading company. Our main product is barium chloride. Excellent and stable quality is always guaranteed. Up to now, we have established stable sales network both at home and abroad, and have gained certain market share in the international market. Besides barium chloride, our trading company also exports over 90 chemicals to more than 30 countries and regions.",yuanchem.com,Food and beverages,China,,Ingredients & inputs,Plant-based,,Ingredient optimization,,
TeOra,"At TeOra, we see a future where the increasing demand for Health & Disease Control compounds and peptides are met with clean & sustainable manufacturing methods.
Just the way Nature taught us.
Using nothing but easily available natural resources, we leverage Nature's biofactories. No more synthetic or unsustainable methods & processes.TeOra takes on this global challenge and aims to lead the design & delivery of precision fermentation-based ingredients & proprietary biofactories. When there is a blueprint available in Nature, TeOra aims to biomanufacture with it.
'Ora’ or 'Aura' translates to “Life Force” in many native tribal languages. Most of these indigenous communities pride themselves in their symbiotic relationship with the natural world.These sentiments resound strongly in their responsible production and consumption practices to protect our planet's life-supporting capacity.
Motivated by such beliefs, TeOra uses Nature’s ingenuine biological processes as a guide to enable the clean and sustainable production of compounds & peptides.
Take nothing but inspiration from Nature.",teoralife.com,Food and beverages,Singapore,2019,Ingredients & inputs,"Cultivated, Fermentation",,Bioprocess design,,
Transnational Technologies Pty Ltd,TrasTEC is a midstream food process technology development business focused on low-temperature food dehydration systems and scaled-down thermal and cold process systems. We develop food process technology and build equipment. We undertake full stack turnkey farm-scale and industrial-scale projects.,trasatec.com,Food and beverages,Australia,2017,"Contract manufacturing, Infrastructure & equipment",Plant-based,,,,
"Zhejiang Wecan Biotechnology Co., Ltd.","Since 1998 we put gluconate products on production, gradually we developed production of vitamin A, D, E, K, DHA, ARA, β-carotene, lutein and lycopene, etc. We have the first embedded microencapsulation production line, centrifugal granulation spray drying system, 50KG to 5000KG of premix powder and liquid mixing system and the mixed solid-liquid mixing system. We have obtained and fully implemented GMP, HACCP, ISO22000, ISO9001,KOSHER international certifications. We also organize a variety of nutrition food ingredients and feed additives (Vitamins, amino acids, minerals, plant extract, protein and peptides) and pharmaceutical intermediates. Company has achieved a rich and integrated one-stop purchasing pattern, and strived to become a professional platform of research and development, production, sales and promotion in food industry, feed additives, pharmaceutical raw materials.",wecanbio.com,Food and beverages,China,1998,Ingredients & inputs,Plant-based,Soy,Ingredient optimization,,
Qingdao Free Trade Zone United,"Qingdao Free Trade Zone United International Trade Co., Ltd. was founded in 1998, specializing in the production and import and export of food additives, flavor raw materials and pharmaceutical and chemical raw materials. The company has experienced R&D and business personnel, product quality, low price, efficient service and fast insight and grasp the latest market information.",unitedint.com,Food and beverages,China,1998,Ingredients & inputs,Plant-based,,Ingredient optimization,,
Yali Bio,"Our planet is overwhelmed by 7 billion people, 25 billion chickens, 980 million cows, 680 million pigs, to name a few. Concentrated animal farming caused devastating deforestation and natural resource challenges. It is time to create a climate-smart food system and reimagine how we cultivate foods.
At Yali Bio, we're building a synthetic biology platform to tailor-make climate-smart foods from renewable resources. Synthetic biology and NGS food genomics can revolutionize food production and mitigate the exploitation of our fragile ecosystem.",yalibio.com,Food and beverages,United States,2021,Ingredients & inputs,Fermentation,,Precision fermentation,,
Shanghai Yancui Import and Export Corporation,"SHANGHAI YANCUI IMPORT AND EXPORT CORPORATION was established in year 2003. Although this is a young company, all of our members in business have rich experience of more than ten years for chemical int'l trading. We know the Chinese chemical market well and we are familiar with the business regulations in different countries and areas. Thus we can always provide our clients with quality goods together with our comprehensive service.
With our continuous efforts, and thanks to the support from our business partners, we have been making progress year by year, and in 2009 we have reached a new high of annual turnover over thirty million USD.
According to our experience, we would like to recommend our strong items including dyestuff, water treatment chemicals, flotation chemicals as well as industrial chemicals and intermediates.
Please refer to our product list for the details. If you find any products to your interests, please do not hesitate to contact us. You will receive our prompt attention and feed back. For these products, we are confident to be your best business partner in China.
We sincerely welcome friends from home and abroad to cooperate with us to develop the chemical business to our mutual benefits.",yancui.com,Food and beverages,China,2003,Ingredients & inputs,Plant-based,,Ingredient optimization,,
Sugarlogix,Sugarlogix is a biotechnology company working on creating sugars with functional benefits for healthier lives.,sugarlogix.com,"Food and beverages, Infant nutrition",United States,2016,Ingredients & inputs,Fermentation,,Precision fermentation,Sweeteners,
"Ningbo Sulian Food Co., Ltd.","Ningbo Sulian Food Co.,LTD., is a technology innovation enterprise specializes in professional research, manufacturing, and sales of plant-based series products.
With its plant-based protein and plant-based innovation research institute and a complete quality management system, Sulian Food has several national invention patents and independent intellectual property rights.",sulianfood.com,Food and beverages,China,2010,"Contract manufacturing, End-consumer brands & products",Plant-based,Soy,,"Meat & fish, Minced/Ground meat",
"Tianwei Biotechnology Co., Ltd.","Tianwei Biotechnology Co., Ltd. was established in the year of 2011, located in Heilongjiang and Jilin Province, where are the main producing areas of the most high-quality Non-GMO soybean crops in the world. And we have over 2,000,000 mu of non-GMO soybean planting and further processing bases there in Qiqihar and Baicheng. And together with the strong technical force",soybeanproduct.com,Food and beverages,China,2011,Ingredients & inputs,Plant-based,Soy,Ingredient optimization,,
Third Wave Bioactives,"ThirdWave Bio, is focused on developing novel, science-based, microbial solutions for the food and human wellness industries. Our range of cultured dextrose, cultured sugar and nisin food ingredients are designed to enhance the flavor profile of perishable foods while maintaining product quality, helping customers adapt to meet the growing consumer demand for healthier, cleaner labeled foods. Our open innovation platform and collaborative team make product selection and project engagement simple.",thirdwavebio.com,Food and beverages,United States,2017,Ingredients & inputs,"Fermentation, Plant-based",,,,
Starfield Food Science & Technology,"Developer of plant-based meat products. The company specializes in developing and researching innovative plant-based meat products using plant protein, providing consumers with healthy meat alternatives.",starfieldcn.com,Food and beverages,China,2019,End-consumer brands & products,Plant-based,"Soy, Wheat",,"Meat & fish, Minced/Ground meat",
Schreiber Foods,"Schreiber Foods strives to do good through food every day. Based in North America, we’re a customer-brand leader in cream cheese, natural cheese, process cheese, beverages and yogurt.
Our more than 9,000 employees and presence on five continents enable us to be an essential ingredient in our customers’ success. With annual sales of more than $5 billion, we partner with the best retailers, restaurants, distributors and food manufacturers around the globe. We also recognize our responsibility to do good in the world and are driven to make a difference in everything we do.
We’ve come a long way since our start as a small cheese company in 1945. Today, our team is more than 8,000 strong at locations across North America, Europe, South America, Asia and Africa. But our commitment to providing safe food the right way has never changed.
At Schreiber, we call ourselves partners, not employees, and there’s a good reason behind that. Our work is more than just a job. We make the company grow. We help each other grow and take care of each other along the way. And, we all share in the rewards.
Our people are truly the heart of our company, and we're on a journey together. We work hard to find great people with diverse backgrounds, experiences and perspectives, and provide opportunities to help them grow. But it’s about more than a career at Schreiber. Like a family, we care deeply about each other.
We strive to foster an inclusive work environment where all our partners can thrive. We've increased our commitment to diversity and inclusion by creating an overarching Diversity and Inclusion Council, as well as resource groups for women, African Americans, Pride, Vets and more groups that give a voice to all of our partners.
We're always looking for passionate partners to join our team and bring to life our culture of being customer obsessed and brilliant at the basics. Want to learn more about our company? Visit us at www.schreiberfoods.com.",schreiberfoods.com,Food and beverages,United States,1945,Contract manufacturing,Plant-based,,,"Cheese, Dairy",
Sound Eats,A new company using cutting-edge science to bring cellular agriculture to market.,soundeats.com,Food and beverages,United States,2021,End-consumer brands & products,Cultivated,,,Meat & fish,"Fish, Seafood"
Singsong Group Limited,"Singsino Group Limited is one of leading supplier and exporter for Food Ingredients and Pharmaceutical Raw Materials for 20 years,our mainly products including Proteins (Rice,Pea,Hemp),Sweeteners (Sucralose,Acesulfame K,Stevia),Sorbitol,Mannitol,CMC,Xanthan Gum etc.products,we export to more than 80 countries with good reputation,if interested in,pls kindly send email to 369098637@qq.com",singsino.com,Food and beverages,China,1997,Ingredients & inputs,Plant-based,"Hemp, Pea, Rice",Ingredient optimization,,
SACCHA,"Cut-down rainforests, melting glaciers and crammed animals, we all know these pictures.
At SACCHA, we believe in making the world a better place. We want to take responsibility and ensure a sustainable protein supply for tomorrow.
Our goal is to bring alternative products into every kitchen and every household, made with proteins from SACCHA.
We believe it takes new technologies and products that enable the transition from linear to circular value chains to solve these global problems. A market shift to alternative proteins is an environmental imperative.
SACCHA solves this problem by turning to a new, previously untapped source of protein, the smallest living things on our planet: microorganisms like brewer's yeast.
We produce proteins from brewer's yeast to help food companies create authentic alternatives to animal products.",saccha.de,Food and beverages,Germany,2020,Ingredients & inputs,Fermentation,Yeast,Biomass fermentation,,
