DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2013,99.56,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2014,94.73,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2015,96.7431252021999,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2016,87.6553423236515,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2017,88.0923824959481,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2018,89.5970330003028,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2019,90.8246772740919,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,1996,73.9766791044776,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,1997,72.977460555973,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,1998,73.0758176412289,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,1999,72.0983333333333,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2000,68.4101748807631,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2001,70.5569823434992,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2002,70.9174147217235,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2003,72.164695177434,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2004,70.4355992844365,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2005,71.1456221198157,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2006,67.2182700080841,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2007,66.7647975077882,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2008,52.9455696202532,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2009,64.2173913043478,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2010,64.5219454329775,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2011,60.4280442804428,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2012,69.6271186440678,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2013,69.97,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2014,65.76,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2015,66.4108352144469,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2016,62.1007613076579,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2017,66.731369924141,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2018,65.7191586128482,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL03: Apartment houses,2019,66.7458178438662,,0: Zero,,,SL03: Definitions: Apartment house,
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,1996,139.947928994083,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,1997,148.5046854083,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,1998,146.820130475303,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,1999,143.429611650485,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2000,138.797956867196,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2001,140.476691729323,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2002,142.827348066298,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2003,138.900118906064,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2004,139.5,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2005,138.484693877551,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2006,134.415401301518,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2007,135.328125,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2008,130.387568555759,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2009,131.454909819639,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2010,130.576354679803,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2011,128.27657480315,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2012,143.820335636723,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2013,142.97,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2014,140.23,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2015,144.7797319933,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2016,145.126057529611,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2017,138.609831029186,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2018,136.748643761302,,0: Zero,,,SL02: Definitions: Dwelling (construction),
LU1:DF_D4202(1.0),A: Annual,SL02: One dwelling residential buildings,2019,137.311287477954,,0: Zero,,,SL02: Definitions: Dwelling (construction),
