DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1984,24130,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1985,23980,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1986,23870,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1987,23720,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1988,23540,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1989,23846,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1990,23936,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1991,24018,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1992,24036,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1993,23964,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1994,24020,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1995,24255,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1996,24571,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1997,24564,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1998,24606,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1999,24873,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2000,25195,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2001,27146,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2002,27244,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2003,27630,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2004,28066,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2005,28274,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2006,28646,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2007,29063,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2008,29515,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2009,29853,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2010,30147,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2011,30125,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2012,30863,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2013,31898,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2014,32600,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2015,33286,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2016,33939,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2017,34378,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2018,35040,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2019,35382,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2020,36218,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2021,36228,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,2022,36177,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1821,1146,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1851,1494,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1871,1372,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1880,1361,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1890,1223,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1900,1203,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1910,1193,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1922,1308,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1930,1376,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1935,1429,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1947,1427,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1960,1669,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1970,1911,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1978,2308,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1979,2355,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1981,2421,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1983,2530,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1984,2560,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1985,2600,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1986,2670,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1987,2760,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1988,2858,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1989,3008,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1990,3172,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1991,3521,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1992,3686,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1993,3817,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1994,3957,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1995,4110,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1996,4193,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1997,4203,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1998,4290,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,1999,4341,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2000,4374,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2001,4402,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2002,4443,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2003,4413,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2004,4450,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2005,4516,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2006,4520,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2007,4569,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2008,4687,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2009,4680,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2010,4665,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2011,4717,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2012,4738,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2013,4866,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2014,4921,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2015,5016,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2016,5171,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2017,5311,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2018,5321,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2019,5408,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2020,5443,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2021,5500,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11008: Steinsel,2022,5544,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1821,574,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1851,1114,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1871,960,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1880,905,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1890,845,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1900,841,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1910,758,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1922,725,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1930,728,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1935,722,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1947,724,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1960,616,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1970,603,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1978,641,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1979,653,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1981,654,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1983,680,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1984,690,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1985,690,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1986,690,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1987,700,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1988,708,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1989,721,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1990,732,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1991,684,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1992,702,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1993,732,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1994,739,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1995,748,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1996,772,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1997,769,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1998,784,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,1999,800,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2000,840,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2001,824,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2002,850,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2003,859,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2004,856,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2005,882,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2006,918,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2007,958,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2008,954,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2009,1016,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2010,1045,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2011,1068,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2012,1102,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2013,1127,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2014,1166,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2015,1201,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2016,1239,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2017,1317,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2018,1394,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2019,1468,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2020,1504,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2021,1520,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12004: Heffingen,2022,1520,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1821,1043,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1851,1503,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1871,1701,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1880,1613,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1890,1538,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1900,1534,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1910,1567,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1922,1516,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1930,1404,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1935,1430,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1947,1290,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1960,1093,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1970,984,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1978,876,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1979,857,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1981,882,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1983,890,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1984,900,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1985,920,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1986,910,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1987,920,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1988,917,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1989,910,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1990,951,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1991,976,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1992,1002,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1993,1052,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1994,1083,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1995,1131,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1996,1138,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1997,1108,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1998,1108,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,1999,1117,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2000,1092,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2001,1152,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2002,1159,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2003,1160,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2004,1209,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2005,1184,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2006,1184,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2007,1220,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2008,1251,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2009,1282,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2010,1331,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2011,1362,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2012,1396,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2013,1440,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2014,1493,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2015,1572,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2016,1676,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2017,1760,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2018,1843,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2019,1912,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2020,2005,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2021,2104,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM01004: Weiswampach,2022,2235,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1821,850,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1851,1321,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1871,1439,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1880,1400,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1890,1170,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1900,1051,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1910,964,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1922,931,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1930,890,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1935,899,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1947,859,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1960,742,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1970,745,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1978,813,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1979,787,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1981,809,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1983,830,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1984,850,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1985,850,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1986,830,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1987,830,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1988,848,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1989,865,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1990,879,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1991,887,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1992,919,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1993,973,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1994,993,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1995,1032,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1996,1086,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1997,1153,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1998,1190,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,1999,1225,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2000,1292,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2001,1244,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2002,1256,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2003,1247,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2004,1271,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2005,1303,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2006,1326,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2007,1350,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2008,1357,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2009,1360,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2010,1372,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2011,1392,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2012,1405,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2013,1469,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2014,1574,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2015,1593,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2016,1621,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2017,1705,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03004: Préizerdaul,2018,1717,,,,,,0: Zero
