DATAFLOW,POP_MOVEMENT: Population Movement,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_POP_MOVEMENT_2: Note Population Movement 2,NOTE_POP_MOVEMENT_1: Note Population Movement 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2018,578,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2019,586,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2020,446,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2021,498,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1990,1646,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1991,1860,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1992,1947,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1993,2087,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1994,1935,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1995,1886,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1996,1878,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1997,1665,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1998,1888,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,1999,2187,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2000,2040,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2001,1960,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2002,2108,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2003,1843,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2004,1795,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2005,1908,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2006,2116,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2007,1922,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2008,2009,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2009,2155,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2010,2278,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2011,2530,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2012,2519,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2013,2521,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2014,2570,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2015,2797,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2016,2833,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2017,3006,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2018,2913,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2019,2963,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2020,3249,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CT12: Canton Mersch,A: Annual,2021,3255,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1990,111,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1991,148,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1992,197,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1993,131,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1994,125,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1995,116,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1996,136,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1997,146,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1998,152,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,1999,207,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2000,181,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2001,157,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2002,198,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2003,177,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2004,163,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2005,224,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2006,218,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2007,205,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2008,166,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2009,221,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2010,193,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2011,186,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2012,229,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2013,187,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2014,225,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2015,251,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2016,232,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2017,241,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2018,243,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2019,288,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2020,315,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM01003: Troisvierges,A: Annual,2021,315,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1990,118,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1991,113,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1992,133,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1993,93,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1994,75,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1995,65,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1996,98,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1997,89,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1998,91,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,1999,130,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2000,98,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2001,200,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2002,97,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2003,107,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2004,101,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2005,120,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2006,153,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2007,160,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2008,124,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2009,101,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2010,139,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2011,222,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2012,169,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2013,233,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2014,294,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2015,354,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2016,263,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2017,183,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2018,145,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2019,158,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2020,132,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM02002: Bourscheid,A: Annual,2021,128,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1990,33,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1991,61,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1992,65,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1993,50,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1994,74,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1995,61,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1996,62,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1997,24,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1998,82,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,1999,82,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2000,43,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2001,67,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2002,68,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2003,70,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2004,50,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2005,49,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2006,89,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2007,123,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2008,100,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2009,100,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2010,103,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2011,125,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2012,102,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2013,95,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2014,126,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2015,187,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2016,147,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2017,132,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2018,127,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2019,113,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2020,127,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM03009: Vichten,A: Annual,2021,115,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1990,176,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1991,142,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1992,188,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1993,218,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1994,192,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1995,184,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1996,182,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1997,215,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1998,219,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,1999,225,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2000,239,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2001,234,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2002,209,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2003,248,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2004,210,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2005,179,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2006,205,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2007,199,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2008,159,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2009,206,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2010,203,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2011,225,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2012,231,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2013,211,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2014,217,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2015,270,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2016,283,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2017,285,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2018,212,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2019,202,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2020,197,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM06006: Rosport - Mompach,A: Annual,2021,225,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1990,47,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1991,68,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1992,71,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1993,72,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1994,88,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1995,80,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1996,60,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1997,45,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1998,84,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,1999,77,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2000,104,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2001,57,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2002,77,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2003,69,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2004,49,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2005,83,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2006,54,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2007,93,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2008,82,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2009,102,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2010,101,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2011,88,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2012,81,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2013,56,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2014,72,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2015,84,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2016,105,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2017,73,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2018,148,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2019,121,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2020,90,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM08008: Waldbredimus,A: Annual,2021,78,,,,,,,,0: Zero
LU1:DF_X025(1.0),M002: Departures,CM11002: Contern,A: Annual,1990,172,,,,,,,,0: Zero
LU1:DF_X025(1.0),M002: Departures,CM11002: Contern,A: Annual,1991,145,,,,,,,,0: Zero
LU1:DF_X025(1.0),M002: Departures,CM11002: Contern,A: Annual,1992,163,,,,,,,,0: Zero
LU1:DF_X025(1.0),M002: Departures,CM11002: Contern,A: Annual,1993,164,,,,,,,,0: Zero
